ID,nest,year,firstFound,lastPresent,lastChecked,fate,ageDay1,site,rat5,rat6,rat7,rat8,rat9,rat10,mouse5,mouse6,mouse7,mouse8,mouse9,mouse10,habitat,orientation,proximate_village,elevation,nest_width,nest_height,nest_lenght,chamber,substrate,walls,vegetation_cover,curved_entrance,predated,predator
228,146a),2009,2,3,4,1,-13,Estrada,0.2,0.2,0.2,0.2,0.2,0.2,0.8,0.8,0.2,0.2,0.2,0.2,road,S,170,153,45,26,47,yes,soil,yes,40,0,1,cat
228,146b),2009,2,21,21,0,-13,Estrada,0.2,0.2,0.2,0.2,0.2,0.2,0.8,0.8,0.2,0.2,0.2,0.2,road,S,170,153,72,56,120,yes,soil,yes,40,0,0,unpred
228,156b),2009,2,10,11,1,-12,Fonte Velha,0.2,0.2,0.8,0.8,0.8,0.8,0.7,0.7,0.2,0.2,0.2,0.2,semi-natural grassland,S,200,190,70,60,130,yes,rock,no,40,1,1,cat
228,156c,2009,2,11,12,1,-12,Fonte Velha,0.2,0.2,0.8,0.8,0.8,0.8,0.7,0.7,0.2,0.2,0.2,0.2,semi-natural grassland,S,200,179,68,58,140,yes,rock,no,40,1,1,cat
228,15F,2009,2,3,4,1,-9,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,1,30,14,130,yes,rock,no,0,0,1,rat
228,16a,2009,2,7,8,1,-12,Fonte Velha,0.2,0.2,0.8,0.8,0.8,0.8,0.7,0.7,0.2,0.2,0.2,0.2,semi-natural grassland,S,200,173,75,33,142,yes,soil,no,40,1,1,cat
228,16b,2009,2,9,10,1,-12,Fonte Velha,0.2,0.2,0.8,0.8,0.8,0.8,0.7,0.7,0.2,0.2,0.2,0.2,semi-natural grassland,S,200,176,61,41,150,yes,soil,no,40,1,1,cat
228,17a),2009,2,21,21,0,-12,Fonte Velha,0.2,0.2,1,1,1,1,0.6,0.6,0.8,0.8,0.8,0.8,semi-natural grassland,S,200,192,60,52,80,yes,soil,no,40,0,0,unpred
228,17b),2009,2,21,21,0,-12,Fonte Velha,0.2,0.2,1,1,1,1,0.6,0.6,0.8,0.8,0.8,0.8,semi-natural grassland,S,200,192,60,52,80,yes,soil,no,40,0,0,unpred
228,22b,2009,2,9,10,1,-12,Pão de Açúcar,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,semi-natural grassland,SW,500,187,39,25,68,yes,soil,yes,40,0,1,cat
